Messages, Size, Comm, Latency, Bandwidth
1, 1024, intra-node, 0.312702, 3.197933
1024, 512, intra-node, 0.065655, 7798.339807
1024, 4, inter-node, 0.036265, 110.299187
1, 16, inter-node, 0.143599, 0.108810
1, 256, intra-node, 0.078636, 3.179205
1024, 64, intra-node, 0.009890, 6471.183013
1, 2, intra-node, 0.001023, 1.909213
1024, 128, intra-node, 0.017246, 7422.010901
1024, 8, inter-node, 0.072378, 110.530824
1024, 4, intra-node, 0.001679, 2382.370459
1024, 512, intra-node, 0.065699, 7793.117095
1024, 16, intra-node, 0.003631, 4406.499587
1, 256, inter-node, 2.285478, 0.109386
1, 1, inter-node, 0.009608, 0.101641
1, 128, inter-node, 1.143181, 0.109344
1024, 1024, inter-node, 9.301519, 110.089546
1024, 1, inter-node, 0.009444, 105.887336
1, 16, inter-node, 0.143392, 0.108967
1024, 256, inter-node, 2.533325, 101.052964
1024, 4, inter-node, 0.036281, 110.250544
1, 1024, intra-node, 0.316348, 3.161076
1024, 2, intra-node, 0.003585, 557.880056
1024, 1024, intra-node, 0.128931, 7942.232667
1024, 2, inter-node, 0.018514, 108.026358
1024, 8, intra-node, 0.002133, 3750.586029
1024, 16, inter-node, 0.143184, 111.744329
1, 4, inter-node, 0.036542, 0.106898
1024, 32, inter-node, 0.286051, 111.868163
1024, 32, intra-node, 0.006333, 5052.897521
1, 2, inter-node, 0.018287, 0.106804
1, 4, intra-node, 0.001646, 2.373177
1, 8, intra-node, 0.003115, 2.508026
1, 16, intra-node, 0.005238, 2.983009
1, 64, intra-node, 0.019864, 3.146395
1, 32, intra-node, 0.010065, 3.104819
1, 1024, inter-node, 9.136844, 0.109447
1, 512, inter-node, 4.568038, 0.109456
1, 64, inter-node, 0.572874, 0.109099
1, 1, intra-node, 0.000552, 1.769135
1024, 1, intra-node, 0.003556, 281.214848
1, 256, intra-node, 0.078370, 3.189996
1024, 64, inter-node, 0.772404, 82.858193
1, 8, inter-node, 0.071789, 0.108826
1024, 512, inter-node, 4.799120, 106.686226
1024, 256, intra-node, 0.032855, 7791.812510
1024, 128, inter-node, 1.365337, 93.749748
1, 512, intra-node, 0.156450, 3.195909
1, 32, inter-node, 0.286231, 0.109178
1024, 64, intra-node, 0.009659, 6625.944715
1, 128, intra-node, 0.039504, 3.164237
1, 4, inter-node, 0.036270, 0.107699
1024, 128, intra-node, 0.016699, 7665.129648
1, 64, inter-node, 0.571871, 0.109290
1024, 64, intra-node, 0.009782, 6542.629319
1024, 32, intra-node, 0.006329, 5056.091010
1024, 1, intra-node, 0.003491, 286.450874
1, 128, intra-node, 0.039475, 3.166561
1024, 8, inter-node, 0.072073, 110.998571
1024, 1, inter-node, 0.009367, 106.757767
1, 1024, intra-node, 0.312150, 3.203588
1024, 8, intra-node, 0.002130, 3755.868545
1024, 1024, intra-node, 0.128226, 7985.899895
1024, 512, intra-node, 0.097099, 5272.968826
1024, 64, inter-node, 0.776296, 82.442780
1, 1024, inter-node, 9.136367, 0.109453
1024, 256, inter-node, 2.533222, 101.057073
1, 512, inter-node, 4.568951, 0.109434
1, 8, inter-node, 0.071878, 0.108691
1024, 2, inter-node, 0.018400, 108.695652
1024, 4, intra-node, 0.001589, 2517.306482
1, 32, intra-node, 0.010142, 3.081246
1024, 256, intra-node, 0.033244, 7700.637709
1024, 2, intra-node, 0.003521, 568.020449
1, 64, intra-node, 0.019884, 3.143231
1, 128, inter-node, 1.142774, 0.109383
1024, 16, intra-node, 0.003589, 4458.066314
1, 512, intra-node, 0.156605, 3.192746
1, 1, intra-node, 0.000509, 1.918590
1, 256, intra-node, 0.078409, 3.188409
1024, 32, inter-node, 0.286004, 111.886547
1024, 1024, inter-node, 9.312184, 109.963463
1, 2, inter-node, 0.018376, 0.106287
1, 8, intra-node, 0.002859, 2.732599
1024, 16, inter-node, 0.143426, 111.555785
1024, 128, inter-node, 1.365395, 93.745766
1024, 512, inter-node, 4.691342, 109.137215
1, 1, inter-node, 0.009492, 0.102883
1, 16, intra-node, 0.005383, 2.902657
1, 32, inter-node, 0.286276, 0.109160
1, 4, intra-node, 0.001605, 2.433801
1, 16, inter-node, 0.143462, 0.108914
1024, 4, inter-node, 0.036320, 110.132159
1, 2, intra-node, 0.001010, 1.933787
1, 256, inter-node, 2.285697, 0.109376
1024, 4, intra-node, 0.001636, 2444.987775
1, 128, inter-node, 1.142974, 0.109364
1024, 32, inter-node, 0.286465, 111.706491
1, 512, inter-node, 4.569668, 0.109417
1, 32, intra-node, 0.010149, 3.079121
1024, 128, intra-node, 0.025377, 5043.937424
1, 2, inter-node, 0.018716, 0.104356
1024, 128, inter-node, 1.365318, 93.751053
1, 64, inter-node, 0.571927, 0.109280
1, 1, intra-node, 0.000560, 1.743862
1024, 8, inter-node, 0.072119, 110.927772
1, 1024, intra-node, 0.312240, 3.202665
1024, 2, intra-node, 0.003643, 548.998079
1, 512, intra-node, 0.156071, 3.203670
1, 256, inter-node, 2.284396, 0.109438
1, 16, intra-node, 0.005277, 2.960963
1024, 2, inter-node, 0.018430, 108.518719
1, 1, inter-node, 0.009489, 0.102915
1, 64, intra-node, 0.019876, 3.144496
1, 2, intra-node, 0.000985, 1.982868
1024, 1024, intra-node, 0.129018, 7936.877025
1, 1024, inter-node, 9.136354, 0.109453
1, 256, intra-node, 0.078307, 3.192563
1024, 16, intra-node, 0.003594, 4451.864218
1024, 8, intra-node, 0.002160, 3703.703704
1024, 512, inter-node, 4.714661, 108.597416
1024, 256, intra-node, 0.033390, 7666.966158
1024, 1, intra-node, 0.003471, 288.101412
1, 32, inter-node, 0.286093, 0.109230
1024, 16, inter-node, 0.143375, 111.595466
1, 8, inter-node, 0.072351, 0.107981
1, 128, intra-node, 0.039537, 3.161595
1024, 1, inter-node, 0.009548, 104.733976
1024, 4, inter-node, 0.036104, 110.791048
1024, 64, intra-node, 0.009730, 6577.595067
1024, 1024, inter-node, 9.313976, 109.942306
1024, 32, intra-node, 0.006346, 5042.546486
1, 4, inter-node, 0.037065, 0.105389
1024, 64, inter-node, 0.776503, 82.420802
1, 16, inter-node, 0.143114, 0.109179
1, 4, intra-node, 0.002145, 1.821096
1024, 512, intra-node, 0.065835, 7777.018303
1, 8, intra-node, 0.002924, 2.671854
1024, 256, inter-node, 2.606217, 98.226663
1024, 4, intra-node, 0.001683, 2376.708259
1024, 512, inter-node, 4.683569, 109.318342
1, 8, intra-node, 0.002937, 2.660027
1024, 16, intra-node, 0.003581, 4468.025691
1, 32, intra-node, 0.010124, 3.086725
1024, 16, inter-node, 0.143323, 111.635955
1, 1024, inter-node, 9.136622, 0.109450
1024, 8, intra-node, 0.002163, 3698.566805
1, 2, inter-node, 0.018243, 0.107062
1, 4, inter-node, 0.036149, 0.108060
1024, 1, intra-node, 0.003490, 286.532951
1, 4, intra-node, 0.001630, 2.396472
1, 8, inter-node, 0.071731, 0.108914
1, 1024, intra-node, 0.312067, 3.204440
1024, 1024, intra-node, 0.128793, 7950.742665
1024, 8, inter-node, 0.072033, 111.060209
1024, 32, intra-node, 0.006380, 5015.673981
1, 256, inter-node, 2.284738, 0.109422
1, 32, inter-node, 0.286236, 0.109176
1024, 2, inter-node, 0.018349, 108.997766
1024, 128, intra-node, 0.016673, 7677.082709
1, 512, intra-node, 0.156554, 3.193786
1024, 256, intra-node, 0.033118, 7729.935383
1, 64, intra-node, 0.019883, 3.143389
1, 16, inter-node, 0.143216, 0.109101
1, 256, intra-node, 0.078430, 3.187556
1024, 64, inter-node, 0.773516, 82.739077
1024, 1, inter-node, 0.009559, 104.613453
1, 512, inter-node, 4.569482, 0.109422
1024, 4, inter-node, 0.036215, 110.451470
1024, 32, inter-node, 0.285976, 111.897502
1, 2, intra-node, 0.001283, 1.522311
1, 128, intra-node, 0.039335, 3.177831
1, 1, intra-node, 0.000515, 1.896238
1, 128, inter-node, 1.142541, 0.109405
1024, 1024, inter-node, 9.295952, 110.155474
1024, 512, intra-node, 0.065611, 7803.569523
1024, 2, intra-node, 0.003599, 555.709919
1024, 128, inter-node, 1.365339, 93.749611
1024, 256, inter-node, 2.588581, 98.895882
1, 1, inter-node, 0.009522, 0.102559
1024, 64, intra-node, 0.009791, 6536.615259
1, 16, intra-node, 0.005243, 2.980164
1, 64, inter-node, 0.572481, 0.109174
1024, 1024, intra-node, 0.129290, 7920.179442
1, 8, intra-node, 0.002872, 2.720230
1024, 512, intra-node, 0.066404, 7710.378893
1024, 2, intra-node, 0.003550, 563.380282
1, 512, inter-node, 4.568588, 0.109443
1, 2, intra-node, 0.000974, 2.005262
1024, 2, inter-node, 0.018407, 108.654316
1024, 4, inter-node, 0.036526, 109.511033
1, 256, intra-node, 0.078328, 3.191707
1024, 128, intra-node, 0.017079, 7494.583992
1024, 128, inter-node, 1.436498, 89.105589
1, 4, intra-node, 0.002338, 1.670766
1024, 16, intra-node, 0.006376, 2509.410289
1, 1024, inter-node, 9.141629, 0.109390
1024, 64, intra-node, 0.009737, 6572.866386
1, 16, inter-node, 0.143165, 0.109140
1, 512, intra-node, 0.156966, 3.185403
1, 1, intra-node, 0.000624, 1.565004
1, 64, inter-node, 0.571491, 0.109363
1, 8, inter-node, 0.072801, 0.107313
1024, 64, inter-node, 0.776828, 82.386320
1, 16, intra-node, 0.006060, 2.578383
1024, 1024, inter-node, 9.307083, 110.023731
