Thread,Timestamp,PAPI_L2_DCH,PAPI_L2_DCA,PAPI_L2_TCM
73014444032,8543110689691032,7462389373,8573194888,1082039618
90194313216,8543110689691046,7308923092,8580316861,1230892424
81604378624,8543110689691626,7416279324,10159916280,2695051229
8589934592,8543110689692332,7261355941,8589318106,1289761659
68719476736,8543110689694092,7370936189,8333462501,927650326
17179869184,8543110689694192,7360709563,8323714262,928601048
60129542144,8543110689697732,7286265576,8624154895,1300439295
77309411328,8543110689697752,7259630209,8278206620,982518187
0,8543110689699920,7164116324,8304158192,1100593629
42949672960,8543110689699932,7345414125,8644139857,1258949829
81604378624,8543110689717792,7416279324,10159916366,2695051483
8589934592,8543110689718220,7261355941,8589318151,1289761748
34359738368,8543110689720866,7411669175,10156477675,2696823023
51539607552,8543110689720886,7336254764,8408119750,1033819517
90194313216,8543110689722660,7308923092,8580316944,1230892692
73014444032,8543110689722672,7462389373,8573194942,1082039727
68719476736,8543110689724846,7370936189,8333462561,927650503
17179869184,8543110689724866,7360709563,8323714344,928601230
81604378624,8543110689726706,7416279324,10159916382,2695051508
8589934592,8543110689726720,7261355941,8589318174,1289761775
77309411328,8543110689727866,7259630209,8278206693,982518382
60129542144,8543110689727880,7286265576,8624154965,1300439451
51539607552,8543110689729860,7336254764,8408119777,1033819557
34359738368,8543110689730092,7411669175,10156477697,2696823055
42949672960,8543110689730220,7345414125,8644139940,1258950053
0,8543110689730240,7164116324,8304158248,1100593760
90194313216,8543110689732212,7308923092,8580316973,1230892727
73014444032,8543110689732240,7462389373,8573194964,1082039751
17179869184,8543110689734440,7360709563,8323714369,928601266
68719476736,8543110689734460,7370936189,8333462592,927650555
85899345920,8543110689736268,7508948675,9311743937,1767858753
38654705664,8543110689736308,7520466927,8622993112,1073926474
4294967296,8543110689736340,7431598504,9028070275,1563324181
94489280512,8543110689736776,7525868463,9314237436,1753970781
60129542144,8543110689737046,7286265576,8624154991,1300439488
30064771072,8543110689737272,7503372099,9698147245,2159738063
12884901888,8543110689737332,7459763948,8585169202,1097510215
77309411328,8543110689737432,7259630209,8278206719,982518414
42949672960,8543110689739260,7345414125,8644139964,1258950084
0,8543110689739346,7164116324,8304158265,1100593788
85899345920,8543110689758180,7508948675,9311744007,1767859004
38654705664,8543110689758300,7520466927,8622993187,1073926730
4294967296,8543110689758504,7431598504,9028070343,1563324426
94489280512,8543110689758888,7525868463,9314237506,1753971031
12884901888,8543110689760420,7459763948,8585169265,1097510397
30064771072,8543110689760432,7503372099,9698147313,2159738209
38654705664,8543110689761868,7520466927,8622993195,1073926744
85899345920,8543110689761912,7508948675,9311744015,1767859018
4294967296,8543110689762184,7431598504,9028070353,1563324442
94489280512,8543110689762584,7525868463,9314237516,1753971047
12884901888,8543110689766412,7459763948,8585169293,1097510433
30064771072,8543110689766472,7503372099,9698147340,2159738242
25769803776,8543110694679676,7276207381,8298792999,986960323
98784247808,8543110694681296,7540816483,8622038197,1052015411
47244640256,8543110694681424,7503445960,8634507482,1102048290
55834574848,8543110694685192,7497548652,8574133738,1046990987
25769803776,8543110694697844,7276207393,8298793067,986960491
98784247808,8543110694701956,7540816495,8622038253,1052015481
47244640256,8543110694701972,7503445969,8634507545,1102048419
25769803776,8543110694705476,7276207399,8298793083,986960504
55834574848,8543110694706960,7497548660,8574133808,1046991157
47244640256,8543110694707044,7503445987,8634507573,1102048434
98784247808,8543110694707052,7540816507,8622038272,1052015488
55834574848,8543110694710576,7497548661,8574133817,1046991165
64424509440,8543110697514772,7351507288,8979450957,1595494261
64424509440,8543110697535452,7351507304,8979451020,1595494328
64424509440,8543110697540088,7351507306,8979451029,1595494336
0,8543110697618320,7164116352,8304158424,1100594126
0,8543110697629116,7164116361,8304158482,1100594252
0,8543111150409688,7164116381,8304158780,1100594889
