"name","run.no.in.std.order","run.no","run.no.std.rp","versions","threads","sampling","use","tempo"
"189","10",189,"10.2","ft.B","24","50","com",""
"190","33",190,"33.2","lu.B","1","150","com",""
"191","44",191,"44.2","cg.B","32","150","com",""
"192","120",192,"120.2","lu.B","32","200","sem",""
"193","32",193,"32.2","cg.B","1","150","com",""
"194","35",194,"35.2","cg.B","8","150","com",""
"195","85",195,"85.2","ft.B","24","100","sem",""
"196","105",196,"105.2","lu.B","32","150","sem",""
"197","51",197,"51.2","lu.B","8","200","com",""
"198","103",198,"103.2","ft.B","32","150","sem",""
"199","114",199,"114.2","lu.B","16","200","sem",""
"200","49",200,"49.2","ft.B","8","200","com",""
"201","50",201,"50.2","cg.B","8","200","com",""
"202","17",202,"17.2","cg.B","1","100","com",""
"203","95",203,"95.2","cg.B","8","150","sem",""
"204","77",204,"77.2","cg.B","1","100","sem",""
"205","108",205,"108.2","lu.B","1","200","sem",""
"206","53",206,"53.2","cg.B","16","200","com",""
"207","100",207,"100.2","ft.B","24","150","sem",""
"208","9",208,"9.2","lu.B","16","50","com",""
"209","119",209,"119.2","cg.B","32","200","sem",""
"210","84",210,"84.2","lu.B","16","100","sem",""
"211","36",211,"36.2","lu.B","8","150","com",""
"212","69",212,"69.2","lu.B","16","50","sem",""
"213","113",213,"113.2","cg.B","16","200","sem",""
"214","45",214,"45.2","lu.B","32","150","com",""
"215","26",215,"26.2","cg.B","24","100","com",""
"216","79",216,"79.2","ft.B","8","100","sem",""
"217","18",217,"18.2","lu.B","1","100","com",""
"218","97",218,"97.2","ft.B","16","150","sem",""
"219","111",219,"111.2","lu.B","8","200","sem",""
"220","92",220,"92.2","cg.B","1","150","sem",""
"221","46",221,"46.2","ft.B","1","200","com",""
"222","27",222,"27.2","lu.B","24","100","com",""
"223","116",223,"116.2","cg.B","24","200","sem",""
"224","6",224,"6.2","lu.B","8","50","com",""
"225","38",225,"38.2","cg.B","16","150","com",""
"226","29",226,"29.2","cg.B","32","100","com",""
"227","47",227,"47.2","cg.B","1","200","com",""
"228","63",228,"63.2","lu.B","1","50","sem",""
"229","94",229,"94.2","ft.B","8","150","sem",""
"230","81",230,"81.2","lu.B","8","100","sem",""
"231","64",231,"64.2","ft.B","8","50","sem",""
"232","101",232,"101.2","cg.B","24","150","sem",""
"233","99",233,"99.2","lu.B","16","150","sem",""
"234","65",234,"65.2","cg.B","8","50","sem",""
"235","8",235,"8.2","cg.B","16","50","com",""
"236","118",236,"118.2","ft.B","32","200","sem",""
"237","67",237,"67.2","ft.B","16","50","sem",""
"238","115",238,"115.2","ft.B","24","200","sem",""
"239","62",239,"62.2","cg.B","1","50","sem",""
"240","54",240,"54.2","lu.B","16","200","com",""
"241","62",241,"62.3","cg.B","1","50","sem",""
"242","1",242,"1.3","ft.B","1","50","com",""
"243","76",243,"76.3","ft.B","1","100","sem",""
"244","31",244,"31.3","ft.B","1","150","com",""
"245","108",245,"108.3","lu.B","1","200","sem",""
"246","27",246,"27.3","lu.B","24","100","com",""
"247","17",247,"17.3","cg.B","1","100","com",""
"248","25",248,"25.3","ft.B","24","100","com",""
"249","30",249,"30.3","lu.B","32","100","com",""
"250","102",250,"102.3","lu.B","24","150","sem",""
"251","9",251,"9.3","lu.B","16","50","com",""
"252","69",252,"69.3","lu.B","16","50","sem",""
"253","110",253,"110.3","cg.B","8","200","sem",""
"254","38",254,"38.3","cg.B","16","150","com",""
"255","105",255,"105.3","lu.B","32","150","sem",""
"256","63",256,"63.3","lu.B","1","50","sem",""
"257","81",257,"81.3","lu.B","8","100","sem",""
"258","100",258,"100.3","ft.B","24","150","sem",""
"259","55",259,"55.3","ft.B","24","200","com",""
"260","104",260,"104.3","cg.B","32","150","sem",""
"261","2",261,"2.3","cg.B","1","50","com",""
"262","116",262,"116.3","cg.B","24","200","sem",""
"263","86",263,"86.3","cg.B","24","100","sem",""
"264","42",264,"42.3","lu.B","24","150","com",""
"265","85",265,"85.3","ft.B","24","100","sem",""
"266","118",266,"118.3","ft.B","32","200","sem",""
"267","92",267,"92.3","cg.B","1","150","sem",""
"268","111",268,"111.3","lu.B","8","200","sem",""
"269","82",269,"82.3","ft.B","16","100","sem",""
"270","74",270,"74.3","cg.B","32","50","sem",""
"271","12",271,"12.3","lu.B","24","50","com",""
"272","72",272,"72.3","lu.B","24","50","sem",""
"273","119",273,"119.3","cg.B","32","200","sem",""
"274","106",274,"106.3","ft.B","1","200","sem",""
"275","41",275,"41.3","cg.B","24","150","com",""
"276","34",276,"34.3","ft.B","8","150","com",""
"277","29",277,"29.3","cg.B","32","100","com",""
"278","94",278,"94.3","ft.B","8","150","sem",""
"279","20",279,"20.3","cg.B","8","100","com",""
"280","52",280,"52.3","ft.B","16","200","com",""
"281","46",281,"46.3","ft.B","1","200","com",""
"282","15",282,"15.3","lu.B","32","50","com",""
"283","117",283,"117.3","lu.B","24","200","sem",""
"284","112",284,"112.3","ft.B","16","200","sem",""
"285","68",285,"68.3","cg.B","16","50","sem",""
"286","6",286,"6.3","lu.B","8","50","com",""
"287","67",287,"67.3","ft.B","16","50","sem",""
"288","35",288,"35.3","cg.B","8","150","com",""
"289","48",289,"48.3","lu.B","1","200","com",""
"290","61",290,"61.3","ft.B","1","50","sem",""
"291","95",291,"95.3","cg.B","8","150","sem",""
"292","91",292,"91.3","ft.B","1","150","sem",""
"293","18",293,"18.3","lu.B","1","100","com",""
"294","14",294,"14.3","cg.B","32","50","com",""
"295","51",295,"51.3","lu.B","8","200","com",""
"296","45",296,"45.3","lu.B","32","150","com",""
"297","36",297,"36.3","lu.B","8","150","com",""
"298","58",298,"58.3","ft.B","32","200","com",""
"299","73",299,"73.3","ft.B","32","50","sem",""
"300","99",300,"99.3","lu.B","16","150","sem",""
"301","23",301,"23.3","cg.B","16","100","com",""
"302","98",302,"98.3","cg.B","16","150","sem",""
"303","120",303,"120.3","lu.B","32","200","sem",""
"304","54",304,"54.3","lu.B","16","200","com",""
"305","43",305,"43.3","ft.B","32","150","com",""
"306","49",306,"49.3","ft.B","8","200","com",""
"307","4",307,"4.3","ft.B","8","50","com",""
"308","84",308,"84.3","lu.B","16","100","sem",""
"309","87",309,"87.3","lu.B","24","100","sem",""
"310","93",310,"93.3","lu.B","1","150","sem",""
"311","115",311,"115.3","ft.B","24","200","sem",""
"312","11",312,"11.3","cg.B","24","50","com",""
"313","113",313,"113.3","cg.B","16","200","sem",""
"314","5",314,"5.3","cg.B","8","50","com",""
"315","64",315,"64.3","ft.B","8","50","sem",""
"316","56",316,"56.3","cg.B","24","200","com",""
"317","88",317,"88.3","ft.B","32","100","sem",""
"318","16",318,"16.3","ft.B","1","100","com",""
"319","37",319,"37.3","ft.B","16","150","com",""
"320","114",320,"114.3","lu.B","16","200","sem",""
"321","97",321,"97.3","ft.B","16","150","sem",""
"322","71",322,"71.3","cg.B","24","50","sem",""
"323","40",323,"40.3","ft.B","24","150","com",""
"324","89",324,"89.3","cg.B","32","100","sem",""
"325","65",325,"65.3","cg.B","8","50","sem",""
"326","80",326,"80.3","cg.B","8","100","sem",""
"327","39",327,"39.3","lu.B","16","150","com",""
"328","3",328,"3.3","lu.B","1","50","com",""
"329","33",329,"33.3","lu.B","1","150","com",""
"330","107",330,"107.3","cg.B","1","200","sem",""
"331","28",331,"28.3","ft.B","32","100","com",""
"332","103",332,"103.3","ft.B","32","150","sem",""
"333","44",333,"44.3","cg.B","32","150","com",""
"334","32",334,"32.3","cg.B","1","150","com",""
"335","10",335,"10.3","ft.B","24","50","com",""
"336","8",336,"8.3","cg.B","16","50","com",""
"337","66",337,"66.3","lu.B","8","50","sem",""
"338","24",338,"24.3","lu.B","16","100","com",""
"339","57",339,"57.3","lu.B","24","200","com",""
