"name","run.no.in.std.order","run.no","run.no.std.rp","versions","threads","time"
"name","run.no.in.std.order","run.no","run.no.std.rp","versions","threads","time"
"224","2",224,"2.16",cg.B,1,109.72
"225","9",225,"9.17",cg.B,32,24.90
"226","14",226,"14.17",sp.B,32,56.36
"227","8",227,"8.17",bt.B,32,35.18
"228","2",228,"2.17",cg.B,1,109.58
"229","11",229,"11.17",is.B,32,
"230","4",230,"4.17",is.B,1,
"231","12",231,"12.17",lu.B,32,31.76
"232","1",232,"1.17",bt.B,1,261.99
"233","13",233,"13.17",mg.B,32,3.67
