"name","run.no.in.std.order","run.no","run.no.std.rp","versions","threads","sampling","use","tempo"
"1642","10",1642,"10.14",ft.B,24,50,com,7.66
"1643","46",1643,"46.14",ft.B,1,200,com,7.76
"1644","44",1644,"44.14",cg.B,32,150,com,22.13
"1645","79",1645,"79.14",ft.B,8,100,sem,7.98
"1646","18",1646,"18.14",lu.B,1,100,com,39.53
"1647","116",1647,"116.14",cg.B,24,200,sem,24.81
"1648","34",1648,"34.14",ft.B,8,150,com,7.67
"1649","62",1649,"62.14",cg.B,1,50,sem,27.32
"1650","52",1650,"52.14",ft.B,16,200,com,7.76
"1651","4",1651,"4.14",ft.B,8,50,com,8.04
"1652","39",1652,"39.14",lu.B,16,150,com,32.59
"1653","54",1653,"54.14",lu.B,16,200,com,37.61
"1654","64",1654,"64.14",ft.B,8,50,sem,7.91
"1655","9",1655,"9.14",lu.B,16,50,com,51.87
"1656","88",1656,"88.14",ft.B,32,100,sem,7.77
"1657","117",1657,"117.14",lu.B,24,200,sem,39.66
"1658","106",1658,"106.14",ft.B,1,200,sem,7.69
"1659","11",1659,"11.14",cg.B,24,50,com,27.75
"1660","91",1660,"91.14",ft.B,1,150,sem,7.61
"1661","50",1661,"50.14",cg.B,8,200,com,23.32
"1662","120",1662,"120.14",lu.B,32,200,sem,39.49
"1663","59",1663,"59.14",cg.B,32,200,com,29.18
"1664","110",1664,"110.14",cg.B,8,200,sem,28.42
"1665","94",1665,"94.14",ft.B,8,150,sem,7.68
"1666","24",1666,"24.14",lu.B,16,100,com,44.07
"1667","5",1667,"5.14",cg.B,8,50,com,26.40
"1668","96",1668,"96.14",lu.B,8,150,sem,37.36
"1669","36",1669,"36.14",lu.B,8,150,com,41.07
"1670","85",1670,"85.14",ft.B,24,100,sem,7.82
"1671","92",1671,"92.14",cg.B,1,150,sem,24.20
"1672","119",1672,"119.14",cg.B,32,200,sem,23.79
"1673","27",1673,"27.14",lu.B,24,100,com,39.97
"1674","22",1674,"22.14",ft.B,16,100,com,7.68
"1675","12",1675,"12.14",lu.B,24,50,com,32.92
"1676","103",1676,"103.14",ft.B,32,150,sem,7.63
"1677","45",1677,"45.14",lu.B,32,150,com,44.84
"1678","65",1678,"65.14",cg.B,8,50,sem,22.30
"1679","48",1679,"48.14",lu.B,1,200,com,39.36
"1680","109",1680,"109.14",ft.B,8,200,sem,7.79
"1681","55",1681,"55.15",ft.B,24,200,com,7.72
"1682","63",1682,"63.15",lu.B,1,50,sem,39.03
"1683","85",1683,"85.15",ft.B,24,100,sem,7.96
"1684","66",1684,"66.15",lu.B,8,50,sem,40.41
"1685","96",1685,"96.15",lu.B,8,150,sem,37.90
"1686","117",1686,"117.15",lu.B,24,200,sem,34.26
"1687","42",1687,"42.15",lu.B,24,150,com,40.14
"1688","38",1688,"38.15",cg.B,16,150,com,25.15
"1689","48",1689,"48.15",lu.B,1,200,com,38.83
"1690","10",1690,"10.15",ft.B,24,50,com,7.79
"1691","86",1691,"86.15",cg.B,24,100,sem,23.26
"1692","36",1692,"36.15",lu.B,8,150,com,38.24
"1693","37",1693,"37.15",ft.B,16,150,com,7.93
"1694","5",1694,"5.15",cg.B,8,50,com,23.01
"1695","87",1695,"87.15",lu.B,24,100,sem,34.00
"1696","78",1696,"78.15",lu.B,1,100,sem,42.72
"1697","109",1697,"109.15",ft.B,8,200,sem,7.76
"1698","69",1698,"69.15",lu.B,16,50,sem,35.97
"1699","65",1699,"65.15",cg.B,8,50,sem,26.61
"1700","13",1700,"13.15",ft.B,32,50,com,7.62
"1701","113",1701,"113.15",cg.B,16,200,sem,24.17
"1702","72",1702,"72.15",lu.B,24,50,sem,39.73
"1703","6",1703,"6.15",lu.B,8,50,com,33.09
"1704","61",1704,"61.15",ft.B,1,50,sem,7.69
"1705","57",1705,"57.15",lu.B,24,200,com,42.74
"1706","81",1706,"81.15",lu.B,8,100,sem,37.45
"1707","16",1707,"16.15",ft.B,1,100,com,7.94
"1708","74",1708,"74.15",cg.B,32,50,sem,28.29
"1709","23",1709,"23.15",cg.B,16,100,com,24.42
"1710","79",1710,"79.15",ft.B,8,100,sem,7.69
"1711","22",1711,"22.15",ft.B,16,100,com,7.73
"1712","27",1712,"27.15",lu.B,24,100,com,33.42
"1713","18",1713,"18.15",lu.B,1,100,com,37.75
"1714","99",1714,"99.15",lu.B,16,150,sem,38.28
"1715","15",1715,"15.15",lu.B,32,50,com,48.79
"1716","4",1716,"4.15",ft.B,8,50,com,7.95
"1717","9",1717,"9.15",lu.B,16,50,com,33.50
"1718","45",1718,"45.15",lu.B,32,150,com,35.61
"1719","56",1719,"56.15",cg.B,24,200,com,34.73
"1720","32",1720,"32.15",cg.B,1,150,com,25.13
"1721","108",1721,"108.15",lu.B,1,200,sem,40.90
"1722","93",1722,"93.15",lu.B,1,150,sem,35.09
"1723","98",1723,"98.15",cg.B,16,150,sem,26.03
"1724","111",1724,"111.15",lu.B,8,200,sem,40.66
"1725","43",1725,"43.15",ft.B,32,150,com,7.81
"1726","24",1726,"24.15",lu.B,16,100,com,34.61
"1727","25",1727,"25.15",ft.B,24,100,com,9.03
"1728","17",1728,"17.15",cg.B,1,100,com,23.64
"1729","1",1729,"1.15",ft.B,1,50,com,8.21
"1730","44",1730,"44.15",cg.B,32,150,com,22.82
"1731","90",1731,"90.15",lu.B,32,100,sem,36.99
"1732","7",1732,"7.15",ft.B,16,50,com,7.76
"1733","100",1733,"100.15",ft.B,24,150,sem,7.92
"1734","91",1734,"91.15",ft.B,1,150,sem,7.69
"1735","82",1735,"82.15",ft.B,16,100,sem,7.80
"1736","71",1736,"71.15",cg.B,24,50,sem,25.17
"1737","34",1737,"34.15",ft.B,8,150,com,7.63
"1738","101",1738,"101.15",cg.B,24,150,sem,24.42
"1739","60",1739,"60.15",lu.B,32,200,com,33.79
"1740","26",1740,"26.15",cg.B,24,100,com,24.39
"1741","53",1741,"53.15",cg.B,16,200,com,22.99
"1742","103",1742,"103.15",ft.B,32,150,sem,8.71
"1743","64",1743,"64.15",ft.B,8,50,sem,7.70
"1744","84",1744,"84.15",lu.B,16,100,sem,36.33
"1745","12",1745,"12.15",lu.B,24,50,com,36.80
"1746","104",1746,"104.15",cg.B,32,150,sem,28.70
"1747","58",1747,"58.15",ft.B,32,200,com,8.04
"1748","59",1748,"59.15",cg.B,32,200,com,27.79
"1749","106",1749,"106.15",ft.B,1,200,sem,7.70
"1750","77",1750,"77.15",cg.B,1,100,sem,27.15
"1751","68",1751,"68.15",cg.B,16,50,sem,28.50
"1752","50",1752,"50.15",cg.B,8,200,com,26.66
"1753","120",1753,"120.15",lu.B,32,200,sem,38.48
"1754","116",1754,"116.15",cg.B,24,200,sem,26.31
"1755","39",1755,"39.15",lu.B,16,150,com,34.52
"1756","105",1756,"105.15",lu.B,32,150,sem,38.40
"1757","51",1757,"51.15",lu.B,8,200,com,32.02
"1758","114",1758,"114.15",lu.B,16,200,sem,34.59
"1759","89",1759,"89.15",cg.B,32,100,sem,28.63
"1760","92",1760,"92.15",cg.B,1,150,sem,22.52
"1761","97",1761,"97.15",ft.B,16,150,sem,7.96
"1762","67",1762,"67.15",ft.B,16,50,sem,7.59
"1763","115",1763,"115.15",ft.B,24,200,sem,7.91
"1764","20",1764,"20.15",cg.B,8,100,com,25.72
"1765","102",1765,"102.15",lu.B,24,150,sem,33.86
"1766","80",1766,"80.15",cg.B,8,100,sem,27.90
"1767","95",1767,"95.15",cg.B,8,150,sem,29.86
"1768","83",1768,"83.15",cg.B,16,100,sem,26.98
"1769","21",1769,"21.15",lu.B,8,100,com,40.58
"1770","112",1770,"112.15",ft.B,16,200,sem,7.76
"1771","33",1771,"33.15",lu.B,1,150,com,40.87
"1772","35",1772,"35.15",cg.B,8,150,com,26.14
"1773","28",1773,"28.15",ft.B,32,100,com,7.82
"1774","110",1774,"110.15",cg.B,8,200,sem,24.56
"1775","41",1775,"41.15",cg.B,24,150,com,30.30
"1776","119",1776,"119.15",cg.B,32,200,sem,27.64
"1777","14",1777,"14.15",cg.B,32,50,com,38.63
"1778","11",1778,"11.15",cg.B,24,50,com,28.94
"1779","31",1779,"31.15",ft.B,1,150,com,7.91
"1780","118",1780,"118.15",ft.B,32,200,sem,7.78
"1781","107",1781,"107.15",cg.B,1,200,sem,21.33
"1782","2",1782,"2.15",cg.B,1,50,com,30.70
"1783","19",1783,"19.15",ft.B,8,100,com,7.74
"1784","49",1784,"49.15",ft.B,8,200,com,8.39
"1785","52",1785,"52.15",ft.B,16,200,com,8.14
"1786","29",1786,"29.15",cg.B,32,100,com,24.96
"1787","75",1787,"75.15",lu.B,32,50,sem,40.47
"1788","8",1788,"8.15",cg.B,16,50,com,23.62
